,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antall kollektivreiser per år (mill),228,244,256,271,285,300,309,319,334,350
Antall nye kollektivreiser pr dag (1000),19,44,34,39,41,39,25,28,41,45
